1;Centros de buceo
2;Puertos deportivos
3;Piscinas naturales
4;Playas
5;Imprescindibles
6;Espacios naturales
7;Parques de ocio
8;Campos de golf
9;Oficinas de información turística
10;Centros históricos
11;Spa
